0	Boston Cleaners	10860 W Charleston Boulevard Summerlin	Las Vegas	NV	89135	"10860 W Charleston Boulevard, Summerlin, Las Vegas, NV 89135"
2	Ruby's Diner	3111 W Chandler Blvd Ste 2146	Chandler	AZ	85226	"3111 W Chandler Blvd Ste 2146, Chandler, AZ 85226"
3	Marriott's Canyon Villas	5220 E Marriott Dr	Phoenix	AZ	85054	"5220 E Marriott Dr, Phoenix, AZ 85054"
4	Nick's	13910 N Frank Lloyd Wright Blvd	Scottsdale	AZ	85260	"13910 N Frank Lloyd Wright Blvd, Scottsdale, AZ 85260"
18	Starbucks	434 Gammon Pl	Madison	WI	53719	"434 Gammon Pl, Madison, WI 53719"
6	The Gym	2510 E Hunt Hwy Ste 1	Queen Creek	AZ	85243	"2510 E Hunt Hwy, Ste 1, Queen Creek, AZ 85243"
7	Walmart	18551 N 83rd Avenue	Glendale	AZ	85308	"18551 N 83rd Avenue, Glendale, AZ 85308"
5	Credit One Bank	625 Pilot Rd Southeast	Las Vegas	NV	89119	"625 Pilot Rd, Southeast, Las Vegas, NV 89119"
28	Starbucks	5110 South Power Rd	Mesa	AZ	85212	"5110 South Power Rd, Mesa, AZ 85212"
17	Paradise Bakery & Cafe	14884 N Pima Rd Ste 101	Scottsdale	AZ	85260	"14884 N Pima Rd, Ste 101, Scottsdale, AZ 85260"
